amedas_id,amedas_subid,,fuken_id,type,f_pre,f_tem,f_wsd,f_sun,f_snc,station_name,station_name_kana,location,,,longitude,,,latitude,height,height_wsd,height_tem,,obs_started_pre,obs_started_others,note1,note2,supervisor,station_id,old_station_id
15251,0,空知,15,四,Y,Y,Y,Y,N,芦別,アシベツ,芦別市北1条東,43,31,43.5167,142,11.4,142.1900,90,17.3,2.5,#昭53.10.25,1974/11/01,1978/10/25,15915,,札幌管区気象台,43,
15276,0,空知,15,雨,Y,N,N,N,N,浦臼,ウラウス,樺戸郡浦臼町浦臼内,43,25.7,43.4283,141,48.6,141.8100,25,,,昭58.8.2,1983/08/02,1983/08/02,,,札幌管区気象台,1400,
15311,0,空知,15,四,Y,Y,Y,Y,N,月形,ツキガタ,樺戸郡月形町月ケ岡,43,19.8,43.3300,141,37.1,141.6183,50,10,3,(昭50.5.16)昭52.10.6,1975/05/16,1977/10/06,,,札幌管区気象台,999,
15321,0,空知,15,四,Y,Y,Y,Y,N,美唄,ビバイ,美唄市北美唄町二区,43,21.8,43.3633,141,49.6,141.8267,16,10,3,#昭52.10.5,1974/11/01,1977/10/05,15920,,札幌管区気象台,44,
15356,0,空知,15,官,Y,Y,Y,Y,N,岩見沢,イワミザワ,岩見沢市5条東　岩見沢特別地域気象観測所,43,12.7,43.2117,141,47.1,141.7850,42,21.9,,#昭50.4.3,1974/11/01,1975/04/03,15923,,札幌管区気象台,47413,
15391,0,空知,15,雨,Y,N,N,N,N,栗沢,クリサワ,岩見沢市栗沢町東本町,43,7.3,43.1217,141,44.7,141.7450,20,,,昭50.6.7,1975/06/07,1975/06/07,,,札幌管区気象台,1068,
15431,0,空知,15,四,Y,Y,Y,Y,N,長沼,ナガヌマ,夕張郡長沼町本町北,43,0.7,43.0117,141,41.6,141.6933,13,10,2.5,#昭52.10.5,1974/11/01,1977/10/05,,,札幌管区気象台,47,
15442,0,空知,15,四,Y,Y,Y,Y,N,夕張,ユウバリ,夕張市鹿の谷山手町,43,2.3,43.0383,141,57.4,141.9567,293,9.4,3,#昭51.4.1,1974/11/01,1976/04/01,15925,,札幌管区気象台,49,
15451,0,空知,15,雨,Y,N,N,N,N,鹿島,カシマ,夕張市鹿島富士見町,43,4.8,43.0800,142,6,142.1000,310,,,昭58.8.2,1983/08/02,1983/08/02,,,札幌管区気象台,1401,
15491,0,空知,15,雨,Y,N,N,N,N,沼の沢,ヌマノサワ,夕張市沼の沢,42,57.6,42.9600,142,1.2,142.0200,161,,,昭58.8.2,1983/08/02,1983/08/02,,,札幌管区気象台,1402,
16026,0,後志,16,四,Y,Y,Y,Y,N,美国,ビクニ,積丹郡積丹町美国町字船澗,43,16.3,43.2717,140,33.8,140.5633,75,8,3.4,#昭52.10.25,1974/11/01,1977/10/25,,,札幌管区気象台,51,
16061,0,後志,16,四,Y,Y,Y,Y,N,神恵内,カモエナイ,古宇郡神恵内村大字神恵内村,43,8.7,43.1450,140,25.4,140.4233,50,10,2.4,昭52.10.24,1977/10/24,1977/10/24,,,札幌管区気象台,1208,
16076,0,後志,16,四,Y,Y,Y,Y,N,余市,ヨイチ,余市郡余市町豊丘町,43,10.9,43.1817,140,45.5,140.7583,20,10,2.8,#昭52.10.31,1974/11/01,1977/10/31,16905,,札幌管区気象台,52,
16091,0,後志,16,官,Y,Y,Y,Y,N,小樽,オタル,小樽市勝納町　小樽特別地域気象観測所,43,10.9,43.1817,141,1,141.0167,25,13.4,,#昭50.12.23,1974/11/01,1975/12/23,16903,,札幌管区気象台,47411,
16126,0,後志,16,雨,Y,N,N,N,N,赤井川,アカイガワ,余市郡赤井川村赤井川,43,5,43.0833,140,49.2,140.8200,148,,,昭51.5.12,1976/05/12,1976/05/12,16900,,札幌管区気象台,1091,
16156,0,後志,16,四,Y,Y,Y,Y,N,共和,キョウワ,岩内郡共和町南幌似,42,58.8,42.9800,140,36.2,140.6033,15,10,2.5,#昭52.10.24,1974/11/01,1977/10/24,16910,,札幌管区気象台,54,
16206,0,後志,16,四,Y,Y,Y,Y,N,蘭越,ランコシ,磯谷郡蘭越町蘭越,42,48.6,42.8100,140,32.5,140.5417,39,8,2.5,#昭52.10.20,1974/11/01,1977/10/20,16915,,札幌管区気象台,55,
16217,0,後志,16,官,Y,Y,Y,Y,N,倶知安,クッチャン,虻田郡倶知安町南1条東　倶知安特別地域気象観測所,42,54,42.9000,140,45.4,140.7567,176,31.5,,平3.8.28,1991/08/28,1991/08/28,16917,,札幌管区気象台,47433,
16252,0,後志,16,官,Y,Y,Y,Y,N,寿都,スッツ,寿都郡寿都町新栄町　寿都特別地域気象観測所,42,47.7,42.7950,140,13.4,140.2233,33,17.4,,平元.9.22,1989/09/22,1989/09/22,16918,,札幌管区気象台,47421,
16272,0,後志,16,雨,Y,N,N,N,N,ニセコ,ニセコ,虻田郡ニセコ町字宮田,42,46.7,42.7783,140,40,140.6667,113,,,平22.3.11,2010/03/11,2010/03/11,,,札幌管区気象台,1615,
